Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-15 09:30:00-05:00,153.11000061035156,154.22000122070312,152.8800048828125,154.0399932861328,9273413,0.0,0.0
2023-02-15 09:45:00-05:00,154.0500030517578,154.52000427246094,153.22000122070312,153.56629943847656,3391508,0.0,0.0
2023-02-15 10:00:00-05:00,153.57000732421875,153.97500610351562,153.0500030517578,153.57000732421875,2847759,0.0,0.0
2023-02-15 10:15:00-05:00,153.57000732421875,153.97000122070312,153.47999572753906,153.72000122070312,2005619,0.0,0.0
2023-02-15 10:30:00-05:00,153.72999572753906,154.39999389648438,153.57000732421875,153.94000244140625,2809396,0.0,0.0
2023-02-15 10:45:00-05:00,153.92999267578125,154.14999389648438,153.7843017578125,153.82989501953125,1555443,0.0,0.0
2023-02-15 11:00:00-05:00,153.82000732421875,154.66000366210938,153.80999755859375,154.47000122070312,1958108,0.0,0.0
2023-02-15 11:15:00-05:00,154.47999572753906,154.7100067138672,154.30999755859375,154.64500427246094,1621443,0.0,0.0
2023-02-15 11:30:00-05:00,154.64500427246094,154.97500610351562,154.36000061035156,154.9600067138672,2248871,0.0,0.0
2023-02-15 11:45:00-05:00,154.97000122070312,155.5,154.9199981689453,155.25,3250701,0.0,0.0
2023-02-15 12:00:00-05:00,155.25999450683594,155.3975067138672,154.7100067138672,154.88999938964844,1523638,0.0,0.0
2023-02-15 12:15:00-05:00,154.8699951171875,154.9600067138672,154.57000732421875,154.64999389648438,1295583,0.0,0.0
2023-02-15 12:30:00-05:00,154.65020751953125,154.97999572753906,153.5,154.58999633789062,4611887,0.0,0.0
2023-02-15 12:45:00-05:00,154.59010314941406,154.63999938964844,153.9705047607422,154.07000732421875,1812813,0.0,0.0
2023-02-15 13:00:00-05:00,154.08999633789062,154.27999877929688,153.71499633789062,154.1844940185547,1554780,0.0,0.0
2023-02-15 13:15:00-05:00,154.19000244140625,154.39999389648438,154.0399932861328,154.375,1136685,0.0,0.0
2023-02-15 13:30:00-05:00,154.3800048828125,154.8000030517578,154.14999389648438,154.7899932861328,1962783,0.0,0.0
2023-02-15 13:45:00-05:00,154.7899932861328,155.0500030517578,154.77000427246094,155.00999450683594,1586188,0.0,0.0
2023-02-15 14:00:00-05:00,155.00999450683594,155.30999755859375,154.89999389648438,155.28500366210938,1310650,0.0,0.0
