Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-24 00:00:00-04:00,4.073512780087261,4.281429132650079,4.062266413087391,4.241304874420166,1066920400,0.0,0.0
2008-03-25 00:00:00-04:00,4.254373616778033,4.349820574948077,4.174429925462437,4.285378932952881,1052391200,0.0,0.0
2008-03-26 00:00:00-04:00,4.2820366187679815,4.430070545557758,4.27504553592366,4.409400463104248,1182084400,0.0,0.0
2008-03-27 00:00:00-04:00,4.406057541745946,4.417000336652088,4.25528780037992,4.263191223144531,999829600,0.0,0.0
2008-03-28 00:00:00-04:00,4.310307284488068,4.396938122501993,4.304227728072059,4.347087383270264,714610400,0.0,0.0
2008-03-31 00:00:00-04:00,4.354991736891306,4.429160717630488,4.332193801306236,4.361982822418213,768065200,0.0,0.0
2008-04-01 00:00:00-04:00,4.447091428839509,4.549225490518319,4.365323870976306,4.545273780822754,1032567200,0.0,0.0
2008-04-02 00:00:00-04:00,4.522478757304971,4.596040182744584,4.433416084205068,4.483266830444336,1044968400,0.0,0.0
2008-04-03 00:00:00-04:00,4.47019387119123,4.669902759724546,4.468370004955382,4.6085004806518555,1051568000,0.0,0.0
2008-04-04 00:00:00-04:00,4.626131277858831,4.7027316387553935,4.582359701038621,4.65318489074707,854417200,0.0,0.0
2008-04-07 00:00:00-04:00,4.745896340266781,4.854110410604534,4.714891821410003,4.7386016845703125,1158326400,0.0,0.0
2008-04-08 00:00:00-04:00,4.667473066836739,4.755624199040437,4.630084201045143,4.645890235900879,1014294400,0.0,0.0
2008-04-09 00:00:00-04:00,4.6601760223959054,4.677805919730884,4.573543989361331,4.603332996368408,873398400,0.0,0.0
2008-04-10 00:00:00-04:00,4.593911329401724,4.724314557475215,4.57780050617069,4.697869300842285,955763200,0.0,0.0
2008-04-11 00:00:00-04:00,4.642241641254267,4.6598715366673575,4.45013138198067,4.472625732421875,1210076000,0.0,0.0
2008-04-14 00:00:00-04:00,4.461380149272718,4.536764611841743,4.39359472559607,4.4920806884765625,845087600,0.0,0.0
